smmp_id,depthpos,node_id,x_smmp,y_smmp,z_surface,install_year,next_tree_id,next_tree_dist,tree_pos,smmp_type,profiledepth_cm,sampling_date_core,fc_vol_perc,ks_m_s,bulkdens_kg_m3,porosity_sat_vol_perc,porosity_calc_vol_perc,gravel_grav_perc,sand_grav_perc,silt_grav_perc,clay_grav_perc,textureclass,textureclass_ger
218,b,55,598852.8,5662814.22,363.94,2014,843,1.98,far,kt,38,28.10.14,37.77,,1.47,45.6,44.8,,,,,,
218,t,55,598852.8,5662814.22,363.94,2014,843,1.98,far,kt,38,28.10.14,39.41,,0.99,57.9,62.9,,,,,,
219,b,57,598851.73,5662829.72,362.7,2014,1013,1.38,far,kt,35,27.10.14,46.71,0.00000659,1.3,51.5,51.1,,,,,,
219,t,57,598851.73,5662829.72,362.7,2014,1013,1.38,far,kt,35,27.10.14,43.45,0.0000229,1.13,53,57.7,,,,,,
220,b,3,598882.06,5662755.3,367.32,2015,606,1.64,far,kt,45,26.03.15,47.04,,1.34,55.6,49.7,,,,,,
220,t,3,598882.06,5662755.3,367.32,2015,606,1.64,far,kt,45,25.03.15,43.1,0.0000478,1.18,57.6,55.7,,,,,,
221,b,1,598884.44,5662766.91,366.69,2015,613,2.82,far,kt,39,26.03.15,47.02,0.000383,1.34,52.5,49.6,,,,,,
221,t,1,598884.44,5662766.91,366.69,2015,613,2.82,far,kt,39,26.03.15,55.96,0.0000516,1.04,65.7,61,,,,,,
222,b,34,598888.8,5662784.49,365.61,2014,725,1.55,far,kt,,,43.63,0.00000978,1.29,53.4,51.4,,,,,,
222,t,34,598888.8,5662784.49,365.61,2014,725,1.55,far,kt,,,41.01,0.000207,1.07,58.2,59.8,,,,,,
223,b,21,598888.16,5662791.5,365.2,2014,778,1.32,far,kt,,,36.96,0.0000621,1.44,49.3,45.9,,,,,,
223,t,21,598888.16,5662791.5,365.2,2014,778,1.32,far,kt,,,40.51,0.0000155,1.36,56.5,48.8,,,,,,
224,b,53,598891.93,5662790.74,365.17,2014,780,2.48,far,kt,27,12.11.14,42.27,0.000000562,1.36,46.3,48.9,,,,,,
224,t,53,598891.93,5662790.74,365.17,2014,780,2.48,far,kt,27,12.11.14,44.4,0.000000804,1.24,50.5,53.3,,,,,,
226,b,5,598799.78,5662795.62,365.61,2014,114,2.4,far,kt,48,07.10.14,35.59,0.0000123,1.45,42.7,45.7,,,,,,
226,t,5,598799.78,5662795.62,365.61,2014,114,2.4,far,kt,48,07.10.14,,,,,,,,,,,
227,b,63,598815.55,5662796.18,365.54,2014,118,0.89,close,kt,31,20.10.14,38.87,,1.44,43.5,45.8,,,,,,
227,t,63,598815.55,5662796.18,365.54,2014,118,0.89,close,kt,31,21.10.14,41.79,0.0000766,1.1687,52.6,56.1,,,,,,
228,b,34,598897.48,5662783.38,365.45,2014,719,0.98,close,kt,27,,39.19,0.0000151,1.41,50.4,46.9,,,,,,
228,t,34,598897.48,5662783.38,365.45,2014,719,0.98,close,kt,27,,38.72,0.000128,1.12,60.1,57.8,,,,,,
229,b,58,598898.03,5662795.33,364.8,2014,784,3.49,far,kt,37,11.11.14,41.29,0.0000162,1.39,44.1,47.8,,,,,,
229,t,58,598898.03,5662795.33,364.8,2014,784,3.49,far,kt,37,11.11.14,43.56,0.0000217,1.1,52.8,58.6,,,,,,
230,b,4,598902.61,5662807.51,363.92,2014,950,0.49,close,kt,36,06.11.14,43.47,,1.29,43.8,51.4,,,,,,
230,t,4,598902.61,5662807.51,363.92,2014,950,0.49,close,kt,36,06.11.14,39.49,0.000000126,1.33,46.1,50,,,,,,
231,b,45,598798.86,5662756.51,368.76,2014,255,0.6,close,kt,29,,,,,,,,,,,,
231,t,45,598798.86,5662756.51,368.76,2014,255,0.6,close,kt,29,13.10.14,40.28,0.0000259,1.23,50.3,53.7,,,,,,
